id,stock_code,stock_name,price
2,60310,3S,2455
3,54620,APS홀딩스,11600
4,265520,AP시스템,17050
5,211270,AP위성,8950
6,32790,BNGT,3125
7,13720,CBI,342
8,35760,CJ ENM,76200
9,311690,CJ 바이오사이언스,26650
10,51500,CJ프레시웨이,32250
11,58820,CMG제약,2150
12,23460,CNH,2350
13,56730,CNT85,3100
14,65770,CS,1520
15,83660,CSA 코스믹,1100
16,404950,DB금융스팩10호,2005
17,367340,DB금융스팩8호,2015
18,367360,DB금융스팩9호,2050
19,68790,DMS,4720
20,241520,DSC인베스트먼트,4105
21,245620,EDGC,2065
22,37370,EG,7340
23,50120,ES큐브,4025
24,84180,EV수성,1550
25,214270,FSN,3950
26,130500,GH신소재,3875
27,900290,GRT,2630
28,83450,GST,19900
29,297890,HB솔루션,13600
30,78150,HB테크놀러지,1820
31,195940,HK이노엔,36300
32,28300,HLB,38600
33,67630,HLB생명과학,11950
34,47920,HLB제약,13450
35,115450,HLB테라퓨틱스,12750
36,403870,HPSP,57200
37,36640,HRS,5340
38,351340,IBKS제13호스팩,1960
39,388790,IBKS제16호스팩,2515
40,405350,IBKS제17호스팩,2295
41,424760,IBKS제18호스팩,2050
42,426550,IBKS제19호스팩,2030
43,439730,IBKS제20호스팩,2005
44,95340,ISC,30350
45,99520,ITX-AI,1285
46,950170,JTC,3205
47,67290,JW신약,3395
48,35900,JYP Ent.,55500
49,318000,KBG,6100
50,24840,KBI메탈,1400
51,24120,KB오토시스,3915
52,21320,KCC건설,5850
53,36670,KCI,8650
54,44180,KD,772
55,151860,KG ETS,10650
56,46440,KG모빌리언스,5890
57,35600,KG이니시스,13100
58,226360,KH 건설,372
59,111870,KH 전자,267
60,60720,KH바텍,12100
61,58400,KNN,889
62,114450,KPX생명과학,4040
63,60370,KT서브마린,5430
64,122450,KX,6330
65,52900,KX하이텍,1315
66,108320,LX세미콘,82500
67,86960,MDS테크,5740
68,160550,NEW,5700
69,53290,NE능률,4020
70,104200,NHN벅스,5940
71,60250,NHN한국사이버결제,12700
72,30190,NICE평가정보,13300
73,24940,PN풍년,6930
74,218410,RFHIC,21250
75,327260,RF머트리얼즈,11150
76,91340,S&K폴리텍,3745
77,19550,SBI인베스트먼트,1150
78,950110,SBI핀테크솔루션즈,4030
79,46140,SBS콘텐츠허브,5120
80,151910,SBW생명과학,1240
81,36120,SCI평가정보,4305
82,99220,SDN,2000
83,36540,SFA반도체,4255
84,255220,SG,1325
85,40610,SG&G,1655
86,49470,SGA,675
87,184230,SGA솔루션즈,760
88,16250,SGC이테크건설,35200
89,48550,SM C&C,3195
90,63440,SM Life Design,2225
91,289080,SV인베스트먼트,2175
92,89230,THE E&M,369
93,161570,THE MIDONG,1005
94,32540,TJ미디어,5210
95,22220,TKG애강,1475
96,48770,TPC,3395
97,246690,TS인베스트먼트,1820
98,317240,TS트릴리온,655
99,38340,UCI,1335
100,73570,WI,2890
101,57030,YBM넷,3655
102,40300,YTN,5880
103,51390,YW,3395
104,52220,iMBC,3875
105,79940,가비아,10200
106,78890,가온미디어,6020
107,399720,가온칩스,19850
108,36620,감성코퍼레이션,1485
109,217730,강스템바이오텍,2860
110,114190,강원에너지,7620
111,94480,갤럭시아머니트리,5170
112,39240,경남스틸,3065
113,53950,경남제약,1855
114,11040,경동제약,7370
115,24910,경창산업,1970
116,198440,고려시멘트,2700
117,49720,고려신용정보,12250
118,14570,고려제약,7120
119,348150,고바이오랩,11450
120,98460,고영,11850
121,35290,골드앤에스,4570
122,38530,골드퍼시픽,455
123,900280,골든센츄리,575
124,215000,골프존,112600
125,121440,골프존뉴딘홀딩스,5430
126,366030,공구우먼,9260
127,14200,광림,1205
128,29480,광무,3450
129,26910,광진실업,5270
130,355150,교보10호스팩,2400
131,397880,교보11호스팩,2030
132,421800,교보12호스팩,2010
133,440790,교보13호스팩,1975
134,53270,구영테크,2525
135,66620,국보디자인,17850
136,43650,국순당,6650
137,6050,국영지앤엠,1295
138,60480,국일신동,2865
139,78130,국일제지,2530
140,307750,국전약품,7660
141,35080,그래디언트,13900
142,204020,그리티,2980
143,186230,그린플러스,11200
144,900070,글로벌에스엠,830
145,204620,글로벌텍스프리,2385
146,19660,글로본,2680
147,53260,금강철강,6610
148,36190,금화피에스시,28050
149,49080,기가레인,1225
150,35460,기산텔레콤,2410
151,308100,까스텔바작,7000
152,187790,나노,1225
153,286750,나노브릭,1380
154,121600,나노신소재,91800
155,247660,나노씨엠에스,20050
156,39860,나노엔텍,5240
157,91970,나노캠텍,1610
158,51490,나라엠앤디,6550
159,137080,나래나노텍,8500
160,190510,나무가,11600
161,242040,나무기술,1900
162,89600,나스미디어,30150
163,293580,나우IB,7870
164,138610,나이벡,20150
165,130580,나이스디앤비,7190
166,36800,나이스정보통신,26700
167,267320,나인테크,3340
168,111710,남화산업,6990
169,91590,남화토건,6600
170,168330,내츄럴엔도텍,3010
171,94860,네오리진,641
172,253590,네오셈,3245
173,212560,네오오토,6790
174,95660,네오위즈,36850
175,42420,네오위즈홀딩스,25650
176,950220,네오이뮨텍,4070
177,311390,네오크레마,8590
178,85910,네오티스,4715
179,92730,네오팜,17350
180,290660,네오펙트,1420
181,306620,네온테크,3600
182,153460,네이블,6890
183,7390,네이처셀,18450
184,33640,네패스,18200
185,330860,네패스아크,22200
186,89140,넥스턴바이오,2240
187,137940,넥스트아이,617
188,396270,넥스트칩,7320
189,348210,넥스틴,54200
190,225570,넥슨게임즈,14800
